Tabela: 8, Linha: 7, Coluna: 6
Tabela: 9, Linha: 2, Coluna: 1
Tabela: 9, Linha: 3, Coluna: 0
Tabela: 9, Linha: 3, Coluna: 1
Tabela: 9, Linha: 3, Coluna: 2
Tabela: 9, Linha: 3, Coluna: 3
Tabela: 9, Linha: 3, Coluna: 4
Tabela: 9, Linha: 4, Coluna: 0
Tabela: 9, Linha: 4, Coluna: 1
Tabela: 9, Linha: 4, Coluna: 2
Tabela: 9, Linha: 4, Coluna: 3
Tabela: 9, Linha: 4, Coluna: 4
Tabela: 9, Linha: 5, Coluna: 0
Tabela: 9, Linha: 5, Coluna: 1
Tabela: 9, Linha: 5, Coluna: 2
Tabela: 9, Linha: 5, Coluna: 3
Tabela: 9, Linha: 5, Coluna: 4
Tabela: 9, Linha: 6, Coluna: 0
Tabela: 9, Linha: 6, Coluna: 1
Tabela: 9, Linha: 6, Coluna: 2
Tabela: 9, Linha: 6, Coluna: 3
Tabela: 9, Linha: 6, Coluna: 4
Tabela: 9, Linha: 7, Coluna: 0
Tabela: 9, Linha: 7, Coluna: 1
Tabela: 9, Linha: 7, Coluna: 2
Tabela: 9, Linha: 7, Coluna: 3
Tabela: 9, Linha: 7, Coluna: 4
Tabela: 10, Linha: 2, Coluna: 1
Tabela: 10, Linha: 3, Coluna: 0
Tabela: 10, Linha: 3, Coluna: 1
Tabela: 10, Linha: 3, Coluna: 2
Tabela: 10, Linha: 3, Coluna: 3
Tabela: 10, Linha: 3, Coluna: 4
Tabela: 10, Linha: 4, Coluna: 0
Tabela: 10, Linha: 4, Coluna: 1
Tabela: 10, Linha: 4, Coluna: 2
Tabela: 10, Linha: 4, Coluna: 3
Tabela: 10, Linha: 4, Coluna: 4
Tabela: 10, Linha: 5, Coluna: 0
Tabela: 10, Linha: 5, Coluna: 1
Tabela: 10, Linha: 5, Coluna: 2
Tabela: 10, Linha: 5, Coluna: 3
Tabela: 10, Linha: 5, Coluna: 4
Tabela: 10, Linha: 6, Coluna: 0
Tabela: 10, Linha: 6, Coluna: 1
Tabela: 10, Linha: 6, Coluna: 2
Tabela: 10, Linha: 6, Coluna: 3
Tabela: 10, Linha: 6, Coluna: 4
Tabela: 12, Linha: 2, Coluna: 0
Tabela: 12, Linha: 2, Coluna: 1
Tabela: 12, Linha: 2, Coluna: 2
Tabela: 12, Linha: 2, Coluna: 3
Tabela: 13, Linha: 6, Coluna: 1
Tabela: 13, Linha: 6, Coluna: 2
Tabela: 13, Linha: 6, Coluna: 3
Tabela: 13, Linha: 6, Coluna: 4
Tabela: 13, Linha: 6, Coluna: 5
Tabela: 13, Linha: 6, Coluna: 6
Tabela: 13, Linha: 10, Coluna: 1
Tabela: 13, Linha: 10, Coluna: 2
Tabela: 13, Linha: 10, Coluna: 3
Tabela: 13, Linha: 10, Coluna: 4
Tabela: 13, Linha: 10, Coluna: 5
Tabela: 13, Linha: 10, Coluna: 6
Tabela: 13, Linha: 14, Coluna: 1
Tabela: 13, Linha: 14, Coluna: 2
Tabela: 13, Linha: 14, Coluna: 3
Tabela: 13, Linha: 14, Coluna: 4
Tabela: 13, Linha: 14, Coluna: 5
Tabela: 13, Linha: 14, Coluna: 6
Tabela: 13, Linha: 18, Coluna: 1
Tabela: 13, Linha: 18, Coluna: 2
Tabela: 13, Linha: 18, Coluna: 3
Tabela: 13, Linha: 18, Coluna: 4
Tabela: 13, Linha: 18, Coluna: 5
Tabela: 13, Linha: 18, Coluna: 6
Tabela: 13, Linha: 19, Coluna: 0
Tabela: 13, Linha: 20, Coluna: 0
Tabela: 13, Linha: 21, Coluna: 0
Tabela: 13, Linha: 22, Coluna: 0
Tabela: 13, Linha: 22, Coluna: 1
Tabela: 13, Linha: 22, Coluna: 2
Tabela: 13, Linha: 22, Coluna: 3
Tabela: 13, Linha: 22, Coluna: 4
Tabela: 13, Linha: 22, Coluna: 5
Tabela: 13, Linha: 22, Coluna: 6
Tabela: 13, Linha: 23, Coluna: 0
Tabela: 13, Linha: 23, Coluna: 1
Tabela: 13, Linha: 23, Coluna: 2
Tabela: 13, Linha: 23, Coluna: 3
Tabela: 13, Linha: 23, Coluna: 4
Tabela: 13, Linha: 23, Coluna: 5
Tabela: 13, Linha: 23, Coluna: 6
Tabela: 13, Linha: 25, Coluna: 0
Tabela: 13, Linha: 25, Coluna: 1
Tabela: 13, Linha: 25, Coluna: 2
Tabela: 13, Linha: 25, Coluna: 3
Tabela: 13, Linha: 25, Coluna: 4
Tabela: 13, Linha: 25, Coluna: 5
Tabela: 13, Linha: 25, Coluna: 6
Tabela: 13, Linha: 26, Coluna: 0
Tabela: 13, Linha: 26, Coluna: 1
Tabela: 13, Linha: 26, Coluna: 2
Tabela: 13, Linha: 26, Coluna: 3
Tabela: 13, Linha: 26, Coluna: 4
Tabela: 13, Linha: 26, Coluna: 5
Tabela: 13, Linha: 26, Coluna: 6
Tabela: 13, Linha: 27, Coluna: 0
Tabela: 13, Linha: 27, Coluna: 1
Tabela: 13, Linha: 27, Coluna: 2
