Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 2, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 3, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 4, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 5, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 6, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 7, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 8, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 9, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 10, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 11, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 12, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 4
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 5
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 6
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 7
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 8
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 9
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 10
Tabela: <docx.table.Table object at 0x00000289DA513DD0>, Linha: 13, Coluna: 11
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 0, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 0, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 0, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 0, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 1, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 1, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 1, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 1, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 2, Coluna: 0
